City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
170,Namatanai,PG,2022-04-04 21:30:26,-3.6667,152.4333,81.72,79,95,7.58
171,Mar Del Plata,AR,2022-04-04 21:26:45,-38.0023,-57.5575,64.42,67,0,9.22
172,Pafos,CY,2022-04-04 21:30:17,34.7667,32.4167,60.58,41,32,5.75
173,Mana,GF,2022-04-04 21:30:27,5.6592,-53.7767,77.61,84,92,11.41
174,Sabak,MY,2022-04-04 21:30:27,3.7675,100.9875,74.64,94,96,1.52
175,New Norfolk,AU,2022-04-04 21:30:27,-42.7826,147.0587,54.9,76,100,4.0
176,Batagay-Alyta,RU,2022-04-04 21:30:28,67.8006,130.4114,-8.9,98,100,4.52
177,Naze,JP,2022-04-04 21:30:28,28.3667,129.4833,47.32,56,2,5.12
178,Coahuayana,MX,2022-04-04 21:30:28,18.7333,-103.6833,82.98,48,79,7.23
179,Tessalit,ML,2022-04-04 21:30:29,20.1986,1.0114,87.66,7,0,4.79
180,Portland,US,2022-04-04 21:29:44,45.5234,-122.6762,55.02,64,75,14.97
181,Cidreira,BR,2022-04-04 21:30:29,-30.1811,-50.2056,69.87,88,98,8.72
182,Ancud,CL,2022-04-04 21:30:30,-41.8697,-73.8203,55.22,93,100,10.71
183,Flinders,AU,2022-04-04 21:30:30,-34.5833,150.8552,63.05,86,1,3.0
184,Gloucester,GB,2022-04-04 21:30:13,51.8657,-2.2431,55.51,79,100,5.99
185,Severo-Kurilsk,RU,2022-04-04 21:31:30,50.6789,156.125,36.39,88,3,8.41
186,Camabatela,AO,2022-04-04 21:31:31,-8.1881,15.375,62.44,99,47,1.99
187,Salta,AR,2022-04-04 21:31:31,-24.7859,-65.4117,72.19,63,40,8.05
188,Bandarbeyla,SO,2022-04-04 21:31:31,9.4942,50.8122,77.63,75,83,1.61
189,Kavaratti,IN,2022-04-04 21:31:32,10.5669,72.642,81.73,75,42,4.0
190,Deputatskiy,RU,2022-04-04 21:31:32,69.3,139.9,-9.31,98,100,1.52
191,Didao,CN,2022-04-04 21:31:33,45.3667,130.8,50.68,39,99,21.05
192,Dryden,CA,2022-04-04 21:31:33,49.7833,-92.7503,41.29,48,100,4.61
193,Los Altos Hills,US,2022-04-04 21:31:33,37.3797,-122.1375,73.87,53,0,19.57
194,Chardara,KZ,2022-04-04 21:31:34,41.2547,67.9692,63.5,52,0,7.67
195,Puerto Cabello,VE,2022-04-04 21:31:34,10.4731,-68.0125,77.68,86,100,11.54
196,Tiksi,RU,2022-04-04 21:31:34,71.6872,128.8694,-6.95,100,100,5.01
197,Lavrentiya,RU,2022-04-04 21:31:35,65.5833,-171.0,-0.85,82,23,12.64
198,Bandipur,NP,2022-04-04 21:31:35,27.9333,84.4167,67.12,45,9,2.98
199,Say,NE,2022-04-04 21:31:35,13.1007,2.3689,95.56,15,100,6.49
200,Monticello,US,2022-04-04 21:27:34,45.3055,-93.7941,48.24,71,0,3.44
201,Binga,ZW,2022-04-04 21:31:36,-17.6203,27.3414,71.53,83,54,2.39
202,Baillif,GP,2022-04-04 21:31:36,16.0202,-61.7463,80.64,66,12,10.92
203,Marienburg,PL,2022-04-04 21:31:37,54.0359,19.0266,38.12,96,100,23.82
204,Shambu,ET,2022-04-04 21:31:37,9.5667,37.1,57.85,63,87,1.83
205,Bhadasar,IN,2022-04-04 21:31:37,28.2833,74.3167,77.74,8,35,3.47
206,Hattiesburg,US,2022-04-04 21:31:38,31.3271,-89.2903,82.89,32,0,6.91
207,Northam,GB,2022-04-04 21:31:38,51.0333,-4.2167,52.39,95,100,12.19
208,Huarmey,PE,2022-04-04 21:31:38,-10.0681,-78.1522,72.99,77,58,11.59
209,Half Moon Bay,US,2022-04-04 21:30:34,37.4636,-122.4286,73.62,64,20,18.41
210,Dali,CN,2022-04-04 21:31:39,25.7,100.1833,54.39,92,99,2.17
211,Qaqortoq,GL,2022-04-04 21:31:39,60.7167,-46.0333,35.49,90,100,2.21
212,Rawson,AR,2022-04-04 21:28:10,-43.3002,-65.1023,69.06,28,11,17.29
213,Liuzhou,CN,2022-04-04 21:31:40,24.3126,109.3892,63.39,62,3,1.03
214,Korla,CN,2022-04-04 21:31:40,41.7597,86.1469,55.89,25,0,3.65
215,Otradnoye,RU,2022-04-04 21:31:40,59.7775,30.8181,36.55,92,100,12.64
216,Staryy Nadym,RU,2022-04-04 21:31:41,65.6118,72.6842,33.49,100,100,8.55
217,Namsos,NO,2022-04-04 21:26:50,64.4662,11.4957,28.45,93,20,4.61
218,Marsh Harbour,BS,2022-04-04 21:31:41,26.5412,-77.0636,75.24,76,42,12.73
219,Vardo,NO,2022-04-04 21:31:42,70.3705,31.1107,27.86,62,92,16.31
220,Banepa,NP,2022-04-04 21:31:42,27.6298,85.5214,64.72,82,20,2.3
221,Marzuq,YE,2022-04-04 21:31:42,14.4,46.4667,68.04,40,2,4.34
222,Nemuro,JP,2022-04-04 21:31:43,43.3236,145.575,38.59,87,1,12.71
223,Rewa,IN,2022-04-04 21:31:43,24.5333,81.3,82.29,8,0,2.62
224,Haines Junction,CA,2022-04-04 21:31:44,60.7522,-137.5108,37.35,44,99,9.22
225,Poyarkovo,RU,2022-04-04 21:31:44,49.6,128.6833,28.27,94,100,17.65
226,Bonthe,SL,2022-04-04 21:31:44,7.5264,-12.505,77.36,78,62,8.5
227,Oksfjord,NO,2022-04-04 21:31:45,70.2396,22.3479,12.27,91,92,6.44
228,Inuvik,CA,2022-04-04 21:31:45,68.3499,-133.7218,-12.14,61,100,8.05
229,Upata,VE,2022-04-04 21:31:46,8.0086,-62.3989,84.47,50,55,6.51
230,Mozarlandia,BR,2022-04-04 21:31:46,-14.7447,-50.5706,77.76,67,18,4.12
231,Turkan,AZ,2022-04-04 21:32:46,40.3639,50.215,53.78,58,0,16.11
232,Constitucion,CL,2022-04-04 21:32:47,-35.3333,-72.4167,61.66,60,0,15.52
233,Sobolevo,RU,2022-04-04 21:32:47,54.4299,31.8996,28.78,89,61,11.88
234,Essex,US,2022-04-04 21:27:49,40.7834,-74.2163,54.34,44,75,13.8
235,Sibolga,ID,2022-04-04 21:32:48,1.7427,98.7792,74.82,85,100,3.49
236,Kanniyakumari,IN,2022-04-04 21:32:48,8.0833,77.5667,81.19,76,17,2.75
237,Kuusamo,FI,2022-04-04 21:32:48,65.9667,29.1833,21.24,93,100,11.5
