City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description,Date
406,San Rafael,-34.6177,-68.3301,77.2,31,26,6.82,AR,scattered clouds,2022-04-07 22:20:38
407,Mazagao,-0.115,-51.2894,82.45,92,96,4.09,BR,overcast clouds,2022-04-07 22:23:19
408,Ahipara,-35.1667,173.1667,64.83,69,85,7.63,NZ,overcast clouds,2022-04-07 22:24:19
409,Bandarbeyla,9.4942,50.8122,79.56,80,65,7.7,SO,broken clouds,2022-04-07 22:24:20
410,Russell,32.3502,-85.1999,71.2,32,5,12.88,US,clear sky,2022-04-07 22:24:20
411,Chiang Khong,20.2613,100.4046,70.47,74,56,2.08,TH,broken clouds,2022-04-07 22:24:21
412,Rawson,-43.3002,-65.1023,56.95,82,100,17.72,AR,light rain,2022-04-07 22:21:52
413,Yamada,39.4667,141.95,43.38,61,13,13.2,JP,few clouds,2022-04-07 22:24:21
414,Amahai,-3.3333,128.9167,78.31,83,99,1.68,ID,overcast clouds,2022-04-07 22:24:21
415,Segamat,2.5148,102.8158,73.63,96,100,1.45,MY,overcast clouds,2022-04-07 22:24:22
416,Acari,-15.4311,-74.6158,74.19,68,69,7.43,PE,broken clouds,2022-04-07 22:24:22
417,San Francisco,37.7749,-122.4194,93.76,28,75,10.36,US,broken clouds,2022-04-07 22:20:18
418,Ust-Barguzin,53.45,108.9833,28.08,90,90,5.48,RU,overcast clouds,2022-04-07 22:24:23
419,Rancho Palos Verdes,33.7445,-118.387,99.75,31,0,10.36,US,clear sky,2022-04-07 22:24:23
420,Mount Isa,-20.7333,139.5,73.17,28,0,10.36,AU,clear sky,2022-04-07 22:24:23
421,Balykshi,47.0667,51.8667,50.0,71,0,13.42,KZ,clear sky,2022-04-07 22:24:24
422,Asau,46.4333,26.4,45.95,82,100,4.74,RO,overcast clouds,2022-04-07 22:24:24
423,South Valley,35.0101,-106.6781,70.0,6,0,19.57,US,clear sky,2022-04-07 22:24:25
424,Porto Walter,-8.2686,-72.7439,79.29,93,100,0.18,BR,overcast clouds,2022-04-07 22:22:16
425,Neiafu,-18.65,-173.9833,84.88,74,75,6.91,TO,broken clouds,2022-04-07 22:24:25
426,Marfino,55.7028,37.3822,46.35,81,0,6.71,RU,clear sky,2022-04-07 22:24:25
427,Soe,-9.8607,124.284,64.69,87,99,3.44,ID,overcast clouds,2022-04-07 22:24:26
428,Tessalit,20.1986,1.0114,88.29,9,0,9.06,ML,clear sky,2022-04-07 22:24:26
429,Manokwari,-0.8667,134.0833,78.98,77,100,4.03,ID,overcast clouds,2022-04-07 22:24:27
430,Luderitz,-26.6481,15.1594,63.03,59,21,16.91,NA,few clouds,2022-04-07 22:24:27
431,Laon,49.5667,3.6667,44.92,69,95,18.7,FR,overcast clouds,2022-04-07 22:24:27
432,Salalah,17.0151,54.0924,80.69,78,0,2.3,OM,clear sky,2022-04-07 22:23:24
433,Ascension,30.2169,-90.9001,72.0,24,0,12.66,US,clear sky,2022-04-07 22:24:28
434,Miami,25.7743,-80.1937,87.03,69,100,11.99,US,overcast clouds,2022-04-07 22:22:19
435,Vanimo,-2.6741,141.3028,78.08,88,100,4.07,PG,overcast clouds,2022-04-07 22:20:21
436,Salsomaggiore Terme,44.8148,9.9796,54.91,87,58,8.28,IT,broken clouds,2022-04-07 22:24:28
437,Tuni,17.35,82.55,75.87,89,1,2.3,IN,clear sky,2022-04-07 22:24:29
438,Gundlupet,11.8,76.6833,70.88,73,15,2.84,IN,few clouds,2022-04-07 22:24:29
439,Albury,-36.0833,146.9167,60.73,100,100,5.75,AU,overcast clouds,2022-04-07 22:24:29
440,Klyuchi,52.2667,79.1667,38.97,74,100,5.14,RU,overcast clouds,2022-04-07 22:24:30
441,Rio Grande,-32.035,-52.0986,68.95,85,100,10.56,BR,moderate rain,2022-04-07 22:24:30
442,Estelle,29.8458,-90.1067,73.99,28,0,12.66,US,clear sky,2022-04-07 22:22:19
443,Louis Trichardt,-23.0439,29.9032,64.51,84,30,14.18,ZA,scattered clouds,2022-04-07 22:24:31
444,Rock Springs,41.5875,-109.2029,56.64,10,0,9.22,US,clear sky,2022-04-07 22:24:31
445,Sabha,27.0377,14.4283,75.78,29,0,24.11,LY,clear sky,2022-04-07 22:24:32
446,Kutahya,39.4242,29.9833,49.44,76,2,14.97,TR,clear sky,2022-04-07 22:24:32
447,Pointe Michel,15.25,-61.3833,79.09,75,16,14.07,DM,few clouds,2022-04-07 22:24:32
448,Ponta Delgada,37.7333,-25.6667,59.72,94,75,11.5,PT,mist,2022-04-07 22:24:33
449,Port-Gentil,-0.7193,8.7815,80.64,88,45,15.19,GA,light rain,2022-04-07 22:24:33
450,Havre-Saint-Pierre,50.2334,-63.5986,39.56,60,0,5.75,CA,clear sky,2022-04-07 22:21:33
451,Surgut,61.25,73.4167,26.78,79,75,8.99,RU,shower snow,2022-04-07 22:25:34
452,Mananara,-16.1667,49.7667,74.57,94,58,5.06,MG,broken clouds,2022-04-07 22:25:34
453,Biak,-0.9131,122.8766,75.85,78,100,2.44,ID,overcast clouds,2022-04-07 22:25:34
454,Keti Bandar,24.1447,67.4497,80.02,73,3,11.39,PK,clear sky,2022-04-07 22:25:35
455,Namibe,-15.1961,12.1522,71.42,75,0,2.64,AO,clear sky,2022-04-07 22:25:35
456,Sibu,2.3,111.8167,73.71,94,40,2.3,MY,scattered clouds,2022-04-07 22:25:35
457,Cidreira,-30.1811,-50.2056,69.89,90,100,12.44,BR,overcast clouds,2022-04-07 22:20:49
458,Imuris,30.7833,-110.8667,89.8,5,0,4.43,MX,clear sky,2022-04-07 22:25:36
459,Dalby,-27.1833,151.2667,65.98,93,49,1.01,AU,scattered clouds,2022-04-07 22:25:36
460,Okhotsk,59.3833,143.3,24.37,92,100,9.51,RU,light snow,2022-04-07 22:25:37
461,Tabas,33.5959,56.9244,78.24,8,65,8.84,IR,broken clouds,2022-04-07 22:25:37
462,Samarai,-10.6167,150.6667,81.7,78,98,12.24,PG,overcast clouds,2022-04-07 22:22:41
463,Sur,22.5667,59.5289,85.57,40,0,9.8,OM,clear sky,2022-04-07 22:23:51
464,Fukue,32.6881,128.8419,59.94,60,0,9.93,JP,clear sky,2022-04-07 22:25:38
465,Port Macquarie,-31.4333,152.9167,67.89,82,92,10.07,AU,overcast clouds,2022-04-07 22:24:32
466,Channel-Port Aux Basques,47.5702,-59.1367,38.84,80,84,6.62,CA,broken clouds,2022-04-07 22:25:38
467,Lagos,6.5833,3.75,82.72,83,91,6.51,NG,light rain,2022-04-07 22:25:38
468,Pascagoula,30.3658,-88.5561,73.45,28,0,18.25,US,clear sky,2022-04-07 22:25:39
469,Katherine,-14.4667,132.2667,70.12,60,83,4.61,AU,broken clouds,2022-04-07 22:25:39
470,Susangerd,31.5608,48.1831,75.72,22,99,2.84,IR,overcast clouds,2022-04-07 22:25:40
