City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
622,Kokopo,PG,76.71,broken clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
625,Sawakin,SD,83.62,clear sky,19.1059,37.3321,فندق الدويم
627,Manta,EC,75.4,overcast clouds,-0.95,-80.7333,Balandra Hotel
632,Matamoros,MX,77.11,broken clouds,25.5333,-103.25,Quinta Belem
633,Grand-Santi,GF,80.11,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
635,Riberalta,BO,86.95,scattered clouds,-10.9833,-66.1,Hotel Colonial
640,Mbandaka,CD,81.46,light rain,0.0487,18.2603,Guest House Epervier
656,Pochutla,MX,84.02,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
658,Conde,BR,84.51,light rain,-7.2597,-34.9075,Pousada Beija Flor
660,Salalah,OM,82.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
663,Teknaf,BD,80.89,overcast clouds,20.8624,92.3058,Forestry Guesthouse
669,La Asuncion,VE,80.62,few clouds,11.0333,-63.8628,Colinas de Matasiete
672,Ambikapur,IN,82.8,broken clouds,23.1167,83.2,Hotel Birendra Prabha
674,Songkhla,TH,78.85,overcast clouds,6.8333,100.6667,ร้านโรตี เมือง. โรตีสาวน้อยใกล้ปั้มปตท
675,Nsanje,MW,79.05,broken clouds,-16.92,35.262,Nsanje Discovery Lodge
683,Frisco,US,75.9,broken clouds,33.1507,-96.8236,Comfort Suites Frisco
688,Kupang,ID,77.23,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
689,Kimbe,PG,76.32,broken clouds,-5.5502,150.1429,Kimbe Bay Hotel
693,San Pedro,PH,82.35,overcast clouds,14.35,121.0167,Esquivel's Garden And Resort
694,Porangatu,BR,89.55,clear sky,-13.4408,-49.1486,Wembley Park Hotel
699,Komsomolskiy,UZ,77.31,overcast clouds,40.4272,71.7189,Ikathouse
707,Sao Jose Da Coroa Grande,BR,83.71,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
708,San Lorenzo,PY,85.14,few clouds,-25.3333,-57.5333,Canarias Hotel
711,Praia,CV,75.74,broken clouds,14.9215,-23.5087,LT Aparthotel
713,Chicxulub,MX,80.65,clear sky,21.1333,-89.5167,Las Palomas Merida
714,Noumea,NC,79.0,clear sky,-22.2763,166.4572,Hôtel Le Lagon
716,El Tigre,VE,88.34,broken clouds,8.8875,-64.2454,Hotel Santa Cruz
717,Pundaguitan,PH,82.74,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
