City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description,Date
185,Kirovsk,48.6375,38.6428,68.41,42,99,14.29,UA,overcast clouds,2022-04-11 14:57:35
186,Ugoofaaru,5.6667,73.0,84.87,72,24,11.1,MV,few clouds,2022-04-11 14:57:35
187,Dubuque,42.4833,-90.8668,46.62,59,100,15.17,US,overcast clouds,2022-04-11 14:55:09
188,Kholtoson,50.2981,103.3097,25.99,44,100,1.77,RU,overcast clouds,2022-04-11 14:57:36
189,Souillac,-20.5167,57.5167,77.38,88,75,11.5,MU,light rain,2022-04-11 14:57:36
190,Alofi,-19.0595,-169.9187,73.29,94,40,1.14,NU,scattered clouds,2022-04-11 14:57:37
191,Saint George,37.1041,-113.5841,59.36,16,16,3.62,US,few clouds,2022-04-11 14:57:37
192,Tuatapere,-46.1333,167.6833,50.95,93,100,5.75,NZ,moderate rain,2022-04-11 14:57:37
193,Husavik,66.0449,-17.3389,32.47,88,72,3.98,IS,broken clouds,2022-04-11 14:57:38
194,Harper,4.375,-7.7169,84.88,70,66,8.34,LR,light rain,2022-04-11 14:57:38
195,Vytegra,61.0064,36.4481,40.23,88,100,4.14,RU,overcast clouds,2022-04-11 14:57:38
196,Constitucion,-35.3333,-72.4167,57.94,53,30,7.72,CL,scattered clouds,2022-04-11 14:57:39
197,Roald,62.5833,6.1333,42.33,75,75,9.22,NO,broken clouds,2022-04-11 14:57:39
198,Olafsvik,64.8945,-23.7142,35.04,75,13,22.24,IS,few clouds,2022-04-11 14:57:16
199,Mongoumba,3.6415,18.5936,86.79,44,86,5.12,CF,overcast clouds,2022-04-11 14:57:40
200,Urucui,-7.2294,-44.5561,93.09,51,5,0.45,BR,clear sky,2022-04-11 14:57:40
201,Vila Franca Do Campo,37.7167,-25.4333,59.41,82,98,13.31,PT,overcast clouds,2022-04-11 14:57:40
202,Port-De-Bouc,43.4,4.9833,65.75,50,0,19.57,FR,clear sky,2022-04-11 14:57:41
203,Kareli,22.9167,79.0667,95.49,14,72,3.85,IN,broken clouds,2022-04-11 14:57:41
204,Saint-Philippe,-21.3585,55.7679,76.59,84,66,16.04,RE,light rain,2022-04-11 14:57:42
205,Mildura,-34.2,142.15,60.76,51,9,6.91,AU,clear sky,2022-04-11 14:57:42
206,Srednekolymsk,67.45,153.6833,-13.11,100,38,4.54,RU,scattered clouds,2022-04-11 14:57:42
207,Zyryanka,65.75,150.85,-13.99,99,31,6.17,RU,scattered clouds,2022-04-11 14:57:43
208,Cayenne,4.9333,-52.3333,86.04,1,75,14.97,GF,broken clouds,2022-04-11 14:57:43
209,Nimbahera,24.6167,74.6833,90.66,18,99,10.22,IN,overcast clouds,2022-04-11 14:57:44
210,Tromso,69.6496,18.957,37.42,70,75,10.36,NO,light snow,2022-04-11 14:57:44
211,Chuy,-33.6971,-53.4616,72.18,81,98,11.45,UY,overcast clouds,2022-04-11 14:57:44
212,Buta,2.7858,24.73,74.41,77,100,1.3,CD,overcast clouds,2022-04-11 14:57:45
213,Kodiak,57.79,-152.4072,34.99,55,41,5.39,US,scattered clouds,2022-04-11 14:57:45
